version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0109_cy5,RS0175_cy5,RS0237_cy5,RS0307_cy5,RS0332_cy5,RS0384_atto565,RS0406_atto565,RS0451_atto565,RS0468_atto565,RS0548_atto565,RS64.0_atto565,RS156.0_alexa488,RS278.0_alexa488,RS313.0_alexa488,RS643.0_alexa488,RS740.0_alexa488,RS810.0_alexa488,RSN9927.0_cy5,RSN2336.0_cy5,RSN1807.0_cy5,RSN4287.0_atto565,RSN1252.0_atto565,RSN9535.0_atto565
name, id, barcode
P2RX3,ENST00000263314,010000100001000000000010
P2RX6,ENST00000413302,010000100010000000100000
P2RX7,ENST00000328963,010001000000000000001010
PARL,ENST00000311101,010001000000000011000000
PDE1A,ENST00000435564,010001000000000100000100
PDE1B,ENST00000243052,010001000000010000010000
PDE1C,ENST00000396193,010001000000101000000000
PDGFRA,ENST00000257290,010001010000000000100000
PDGFRB,ENST00000261799,010001100100000000000000
PEF1,ENST00000373703,010010000000000000000110
PHKA1,ENST00000373542,010010000000000001100000
PHKA2,ENST00000379942,010010000000010000001000
PHKB,ENST00000566044,010010000001000010000000
PHKG1,ENST00000452681,010010000100000000010000
PHKG2,ENST00000563588,010010001000100000000000
PIP5K1B,ENST00000541509,010010010000001000000000
PIP5KL1,ENST00000388747,010011000010000000000000
PKD1L1,ENST00000289672,010100000000000000000011
PKD1L2,ENST00000527937,010100000000000000010100
PKD2L1,ENST00000318222,010100000000001010000000
PKD2L2,ENST00000508638,010100000000010000100000
PKDREJ,ENST00000253255,010100000001000000001000
PLCB1,ENST00000378641,010100000010100000000000
PLCB4,ENST00000378501,010100000100000001000000
PLCD1,ENST00000463876,010100110000000000000000
PLCD4,ENST00000432688,010101001000000000000000
PLCL1,ENST00000437704,010110000000000100000000
PLCL2,ENST00000615277,011000000000000000100010
PLCXD2,ENST00000636933,011000000000001000000100
,ENST00000377801,011000000000100010000000
PLCZ1,ENST00000266505,011000000011000000000000
PLEKHH1,ENST00000329153,011000000100010000000000
PLEKHH2,ENST00000282406,011000001000000001000000
PLEKHH3,ENST00000293349,011000010000000000001000
PLN,ENST00000357525,011000100000000100000000
PLPP3,ENST00000371250,011010000000000000000001
PLPP4,ENST00000398250,100000000000000000110100
,ENST00000372264,100000000000000001010001
PMPCA,ENST00000444897,100000000000000011000100
PNCK,ENST00000370150,100000000000000100001010
PPEF1,ENST00000361511,100000000000001000100010
PPEF2,ENST00000286719,100000000000001001001000
PPIF,ENST00000225174,100000000000010001100000
PPM1E,ENST00000308249,100000000000010100010000
PPM1H,ENST00000228705,100000000001000000011000
PPM1L,ENST00000498165,100000000001000001000010
PPM1M,ENST00000323588,100000000001000010100000
PPP3R2,ENST00000374806,100000000001101000000000
PRKACA,ENST00000308677,100000000010000100100000
PRKACB,ENST00000610457,100000000010010000000010
PRKACG,ENST00000377276,100000000100000000001100
PRKCB,ENST00000303531,100000000100000000100001
PRKCG,ENST00000263431,100000000100000010010000
PRKD1,ENST00000331968,100000000100100001000000
PSEN1,ENST00000394164,100000001000000000010010
PSEN2,ENST00000366782,100000001000001010000000
PSENEN,ENST00000587708,100000001000100000000100
PTAFR,ENST00000539896,100000001001000000000001
PTGER1,ENST00000292513,100000001010000000001000
PTGER3,ENST00000370924,100000001100000100000000
PTGFR,ENST00000370756,100000010000000010001000
PTK2B,ENST00000397501,100000010000000100000100
KIF20A,ENST00000394894,100000010000001000000001
RACGAP1,ENST00000454520,100000010001010000000000
,ENST00000371374,100000010010100000000000
RCN3,ENST00000270645,100000100000000000000110
RHBDL1,ENST00000219551,100000100000000000001001
RHBDL3,ENST00000269051,100000100000000101000000
RHOT1,ENST00000581094,100000100000011000000000
RHOT2,ENST00000315082,100000100000100010000000
RYR2,ENST00000366574,100000100011000000000000
,ENST00000341998,100000110100000000000000
SLC24A3,ENST00000328041,100001000000000000000011
SLC24A4,ENST00000532405,100001000000010000001000
SLC24A5,ENST00000482911,100001000000100100000000
